Country,Year,TPopulation1July,PopGrowthRate,TFR,IMR,LEx,GDP_Growth,FDI_Value,Financial_Value,Malaria,Lower respiratory infections,Diarrhoeal diseases,HIV/AIDS,Maternal conditions,COVID-19,Diabetes mellitus,Hypertensive heart disease,Ischaemic heart disease,Meningitis
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0164084825664759,110696264458.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0164084825664759,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0164084825664759,48071000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0164084825664759,197423000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,107971000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,436793000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,5756934250.68177,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,75336000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,558483823474.543,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,453343000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,643858000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,55203807358.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,1626888039386.35,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,6114361297.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,127238195732.066,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,75647771752.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,165104839254.605,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,580942327537.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,1218566026362.97,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,642967823184.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,13111905508.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,110696264458.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,48071000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0543078109622002,197423000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,107971000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,436793000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,5756934250.68177,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,75336000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,558483823474.543,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,453343000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,643858000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,55203807358.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,1626888039386.35,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,6114361297.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,127238195732.066,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,75647771752.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,165104839254.605,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,580942327537.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,1218566026362.97,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,642967823184.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,13111905508.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,110696264458.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,48071000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,,197423000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,107971000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,436793000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,5756934250.68177,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,75336000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,558483823474.543,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,453343000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,643858000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,55203807358.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,1626888039386.35,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,6114361297.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,127238195732.066,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,75647771752.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,165104839254.605,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,580942327537.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,1218566026362.97,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,642967823184.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,13111905508.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,110696264458.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,48071000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.629013062,197423000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,107971000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,436793000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,5756934250.68177,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,75336000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,558483823474.543,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,453343000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,643858000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,55203807358.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,1626888039386.35,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,6114361297.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,127238195732.066,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,75647771752.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,165104839254.605,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,580942327537.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,1218566026362.97,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,642967823184.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,13111905508.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,110696264458.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,48071000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.11123582,197423000000.0,,,,,,,,,,
Benin,2016,11697.842,2.91,5.2544,61.5812,59.2826,3.34,0.0623437687754631,107971000000.0,,,,,,,,,,
